Brand,Version,Supplier,Supplier_type,Country,City,Address,IATA,City_airport,climate_impact_kg_co2,flight_distance_km,co2_emissions_kg,climate_impact_of_contrails_ozone_formation_etc_kg,Fuel_consumption_l
Alfa Romeo,,Garage Boxy,service,Belgium,Zwijndrecht,"Oude Gentweg 10, 9840 De Pinte, Belgium",HLM,Holland,"1,850","6,322",634,"1,215",251
Alfa Romeo,,Garagebedrijf Steutel,service,Netherlands,Zwolle,"Provincialeweg Zuid 13, 4286 LJ Almkerk, Netherlands",HLM,Holland,"1,850","6,322",634,"1,215",251
Alfa Romeo,,Ian Ellis Classic Alfas,service,United Kingdom,Lewes,"52 The Old Brickworks, Station Road, Plumpton Green, Lewes BN7 3DF, UK",LEW,Lewes,"1,401","5,071",484,917,191
Alfa Romeo,,KFZ Meisterbetrieb Hesshaus,service,Germany,Zwickau,"Lägenfeldstraße 34, 30952 Ronnenberg, Germany",HOF,Hof,"1,623","5,691",559,"1,065",221
Alfa Romeo,,Milano Motors,service,Germany,Zwickau,"Harffstraße 110A, 40591 Düsseldorf, Germany",HOF,Hof,"1,623","5,691",559,"1,065",221
Alfa Romeo,,Oldtimer Vetter,service,Switzerland,Zürich,"Schwarzenburgstrasse 840, 3145 Niederscherli, Switzerland",ZRH,Zürich,427,"1,770",158,269,45
Alfa Romeo,,Passione Alfa,service,Germany,Zwickau,"Kolpingring 12, 82041 Oberhaching, Germany",HOF,Hof,"1,623","5,691",559,"1,065",221
Alfa Romeo,,QV Automotive Engineering,service,Australia,Whyalla,"4/62 Maryborough Street, Fyshwick ACT 2609, Australia",WYA,Whyalla,"6,789","17,032","2,288","4,501",905
Alfa Romeo,,Stalder & Moser GmbH,service,Switzerland,Zürich,"Uesslingerstrasse 24, 8548 Ellikon an der Thur, Switzerland",ZRH,Zürich,427,"1,770",158,269,45
Alfa Romeo,,Usato,service,Netherlands,Zwolle,"Houtstraat 6, 2984 AD Ridderkerk, Netherlands",HLM,Holland,"1,850","6,322",634,"1,215",251
Alfa Romeo,,VeloceSport,service,United Kingdom,Boston,"Pine Warren, Boston Road, Heckington, Lincolnshire NG34 9JF, UK",BOS,Boston,"1,440","5,180",497,943,197
Alfa Romeo,,Vrehen Classico,service,Netherlands,Zwolle,"Beitel 12A, 6466 GZ Kerkrade, Netherlands",HLM,Holland,"1,850","6,322",634,"1,215",251
Alfa Romeo,,Afra sas,spare parts,Italy,Vittoria,"Via Carducci, 36/38, 20019 Settimo Milanese, MI, Italy",BAR,Bar,"6,055","15,562","2,042","4,013",808
Alfa Romeo,,Alfa Delta,spare parts,Italy,Vittoria,"Via Lambro, 85, 21050 Marnate, VA, Italy",BAR,Bar,"6,055","15,562","2,042","4,013",808
Alfa Romeo,,Alfa Hinzen,spare parts,Germany,Zwickau,"Düsseldorfer Landstraße 301, 47259 Duisburg, Germany",HOF,Hof,"1,623","5,691",559,"1,065",221
Alfa Romeo,,Alfa Onlineshop by Fritz Wenger,spare parts,Germany,Zwickau,"Thierhaupter Straße 6, 86692 Münster, Germany",HOF,Hof,"1,623","5,691",559,"1,065",221
Alfa Romeo,,Alfa Parts,spare parts,United States,Berkeley,"1221 Fourth St, Berkeley, CA 94710, USA",OAK,Oakland,"2,948","9,165","1,002","1,946",396
Alfa Romeo,,Alfa Romeo Ersatzteilprofis Stefan Götzelmann,spare parts,Germany,Zwickau,"Dainbacher Weg 6, 97980 Bad Mergentheim, Germany",HOF,Hof,"1,623","5,691",559,"1,065",221
Alfa Romeo,,Alfa VHB,spare parts,France,Yerres,"99 Rue de Colombes, 92600 Asnières-sur-Seine, France",AVO,Avon,"1,998","6,735",684,"1,314",271
Alfa Romeo,,Alfa-Service Hurtienne GmbH,spare parts,Germany,Zwickau,"Siemensstraße 32, 59199 Bönen, Germany",HOF,Hof,"1,623","5,691",559,"1,065",221
Alfa Romeo,,Alfamotive,spare parts,Netherlands,Zwolle,"Poort van Midden Gelderland Rood 1A, 6666 LS Heteren, Netherlands",HLM,Holland,"1,850","6,322",634,"1,215",251
Alfa Romeo,,AlfaStop,spare parts,United Kingdom,Belper,"PO Box 50, Belper, Derbyshire DE56 1AS, UK",DCN,Derby,,,,,
Alfa Romeo,,AlfaStrada,spare parts,Netherlands,Zwolle,"Perspectief 10, 3892 GD Zeewolde, Netherlands",HLM,Holland,"1,850","6,322",634,"1,215",251
Alfa Romeo,,Alfisti Shop,spare parts,Germany,Zwickau,"Dieksdamm 6, 32825 Blomberg, Germany",HOF,Hof,"1,623","5,691",559,"1,065",221
Alfa Romeo,,Bertelsbeck Automotive GmbH,spare parts,Germany,Zwickau,"Schulze-Delitzsch-Straße 4, 59348 Lüdinghausen, Germany",HOF,Hof,"1,623","5,691",559,"1,065",221
