Brand;Model;Submodel;Year;Origin
Ford;Mustang;Ghia;1976 - 1977;United States
Ford;Mustang;Ghia;1977 - 1978;United States
Ford;Mustang;Ghia V6;1977 - 1978;United States
Ford;Mustang;Ghia V8;1977 - 1978;United States
Ford;Mustang;GT 350 Shelby;1965 - 1966;United States
Ford;Mustang;Hardtop 2.3L;1973 - 1974;United States
Ford;Mustang;King Cobra;1977 - 1978;United States
Ford;Mustang;Mach I;1968;United States
Ford;Mustang;Mach I;1968 - 1969;United States
Ford;Mustang;Shelby Cobra GT 500 KR;1968 - 1969;United States
Fuldamobil;S-7;Fram King;1957 - 1965;Germany
Glas;2600;V8;1966 - 1967;Germany
Glas;1004;;19 631 967;Germany
Glas;1004;CL;1966 - 1967;Germany
Glas;1004;S Coupe;1962 - 1965;Germany
Glas;1204;;1963 - 1965;Germany
Glas;1204;TS;1963 - 1964;Germany
Glas;1300;GT;1964 - 1965;Germany
Glas;1300;GT;1965 - 1967;Germany
Glas;1304;CL;1966 - 1968;Germany
Glas;1700;;1964;Germany
Glas;1700;;1965 - 1967;Germany
Glas;1700;GT;1965 - 1967;Germany
Glas;1700;TS;1965 - 1967;Germany
Glas;3000;V8;1967 - 1968;Germany
Glas;Isar;S 35;1960;Germany
Glas;S 1004;;1962 - 1963;Germany
Glas;S 1004;TS;1963 - 1965;Germany
Glas;S 1204;TS;1963 - 1965;Germany
Goggomobil;T 250;;1955 - 1969;Germany
Goggomobil;T 300;;1955 - 1969;Germany
Goggomobil;T 400;;1964 - 1967;Germany
Heinkel;Kabine;175;1956 - 1957;Germany
Heinkel;Kabine;200;1956;Germany
Heinkel;Kabine;200;1957 - 1958;Germany
Honda;Accord;1.6;1979 - 1981;Japan
Honda;Accord;1.6;1981 - 1983;Japan
Honda;Accord;1.6;1983 - 1985;Japan
Honda;Accord;1.6;1985 - 1987;Japan
Honda;Accord;1.6 EX;1979 - 1981;Japan
Honda;Accord;1.6 EX;1981 - 1983;Japan
Honda;Accord;1.6 EX;1983 - 1985;Japan
Honda;Accord;1.6 EX Hondamatic;1979 - 1981;Japan
Honda;Accord;1.8 EX;1983 - 1985;Japan
Honda;Accord;1.6;1984 - 1985;Japan
Honda;Accord;1.6 EX;1984 - 1985;Japan
Honda;Accord;1.8i;1996 - 1998;Japan
Honda;Accord;1.8i LS;1996 - 1998;Japan
Honda;Accord;1600;1976 - 1979;Japan
Honda;Accord;1600;1977 - 1979;Japan
Honda;Accord;1600 Hondamatic;1977 - 1979;Japan
Honda;Accord;1600 Hondamatic;1976 - 1979;Japan
Honda;Accord;2.0;1989 - 1993;Japan
Honda;Accord;2.0 Catalyst EX;1985 - 1989;Japan
Honda;Accord;2.0 Catalyst EX Automatic;1987 - 1989;Japan
Honda;Accord;2.0 EX;1985 - 1989;Japan
Honda;Accord;2.0 TD;1996 - 1998;Japan
Honda;Accord;2.0i;1993 - 1996;Japan
Honda;Accord;2.0i Catalyst EX;1987 - 1989;Japan
Honda;Accord;2.0i ES;1993 - 1996;Japan
Honda;Accord;2.0i ES;1996 - 1998;Japan
Honda;Accord;2.0i EX;1985 - 1987;Japan
Honda;Accord;2.0i LS;1994 - 1995;Japan
Honda;Accord;2.0i LS;1993 - 1995;Japan
Honda;Accord;2.0i LS;1996 - 1998;Japan
Honda;Accord;2.0i S;1993 - 1995;Japan
Honda;Accord;2.0i-16;1989 - 1993;Japan
Honda;Accord;2.0i-16 Catalyst EX;1987 - 1989;Japan
Honda;Accord;2.0i-16 EX;1987;Japan
Honda;Accord;2.0i-16 Limited Edition;1991;Japan
Honda;Accord;2.2i;1989 - 1993;Japan
Honda;Accord;2.2i;1996 - 1998;Japan
Honda;Accord;2.2i Limited Edition;1991;Japan
Honda;Accord;2.3i SR;1993 - 1996;Japan
Honda;Accord;Aero Deck 2.0 Catalyst EX;1987 - 1989;Japan
Honda;Accord;Aero Deck 2.0 EX;1986 - 1987;Japan
Honda;Accord;Aero Deck 2.0i;1991 - 1994;Japan
Honda;Accord;Aero Deck 2.0i Catalyst EX;1987 - 1989;Japan
Honda;Accord;Aero Deck 2.0i ES;1998;Japan
Honda;Accord;Aero Deck 2.0i EX;1986 - 1987;Japan
Honda;Accord;Aero Deck 2.0i LS;1994 - 1998;Japan
Honda;Accord;Aero Deck 2.2i;1993 - 1994;Japan
Honda;Accord;Coupé 2.0i;1992 - 1994;Japan
Honda;Accord;Coupé 2.2i ES;1994 - 1998;Japan
Honda;Civic;1.2 L;1983 - 1987;Japan
Honda;Civic;1.3;1987 - 1989;Japan
Honda;Civic;1.3 L;1983 - 1987;Japan
Honda;Civic;1.3 LSi;1994 - 1995;Japan
Honda;Civic;1.3 SL;1979 - 1983;Japan
Honda;Civic;1.3i;1991 - 1994;Japan
Honda;Civic;1.3i Basic;1994 - 1995;Japan
Honda;Civic;1.3i Catalyst;1989 - 1991;Japan
Honda;Civic;1.3i Catalyst College;1990 - 1991;Japan
Honda;Civic;1.3i College;1993 - 1995;Japan
Honda;Civic;1.3i Noblesse;1994 - 1995;Japan
Honda;Civic;1.4 L;1987 - 1989;Japan
Honda;Civic;1.5 GT;1985 - 1987;Japan
Honda;Civic;1.5 LSi;1991 - 1995;Japan
Honda;Civic;1.5 LSi;1992 - 1995;Japan
Honda;Civic;1.5 S;1983 - 1987;Japan
Honda;Civic;1.5 SL;1979 - 1983;Japan
Honda;Civic;1.5 VEi;1991 - 1995;Japan
Honda;Civic;1.5 VEi;1992 - 1995;Japan
Honda;Civic;1.5i;1991 - 1995;Japan
Honda;Civic;1.5i;1992 - 1995;Japan
Honda;Civic;1.5i Catalyst;1989 - 1991;Japan
Honda;Civic;1.5i Catalyst GT;1986 - 1987;Japan
Honda;Civic;1.5i City Edition;1993 - 1995;Japan
Honda;Civic;1.5i City Edition;1994 - 1995;Japan
Honda;Civic;1.6 ESi;1991 - 1995;Japan
Honda;Civic;1.6 ESi;1992 - 1995;Japan
Honda;Civic;1.6 VTi;1991 - 1995;Japan
Honda;Civic;1.6 VTi;1992 - 1995;Japan
Honda;Civic;1.6i Catalyst;1987 - 1989;Japan
Honda;Civic;1.6i Catalyst;1989 - 1991;Japan
Honda;Civic;1.6i Catalyst GL;1987 - 1989;Japan
Honda;Civic;1.6i Catalyst GL;1990 - 1991;Japan
Honda;Civic;1.6i VTEC Catalyst;1990 - 1991;Japan
Honda;Civic;1200;1973 - 1978;Japan
Honda;Civic;1200;1977 - 1979;Japan
Honda;Civic;1500;1975 - 1977;Japan
Honda;Civic;Coupé 1.5 LSi;1993 - 1996;Japan
Honda;Civic;Coupé 1.5 LSi Pro-Tec;1995 - 1996;Japan
Honda;Civic;Coupé 1.5i;1993 - 1996;Japan
Honda;Civic;Coupé 1.5i Pro-Tec;1995 - 1996;Japan
Honda;Civic;Coupé 1.6 ESi;1993 - 1996;Japan
Honda;Civic;Coupé 1.6 ESi Del Sol;1994;Japan
Honda;Civic;Coupé 1.6 ESi Pro-Tec;1995 - 1996;Japan
Honda;Civic;Coupé 1.6 VTi Del Sol;1994;Japan
Honda;Civic;Shuttle 1.5;1983 - 1987;Japan
Honda;Civic;Shuttle 1.5 4WD;1985 - 1986;Japan
Honda;Civic;Shuttle 1.5 RT 4WD;1987;Japan
Honda;Civic;Shuttle 1.6i Catalyst;1988 - 1989;Japan
Honda;Civic;Shuttle 1.6i Catalyst 4WD;1990 - 1991;Japan
Honda;Civic;Shuttle 1.6i Catalyst 4WD;1991 - 1995;Japan
Honda;Civic;Wagon 1.3 SL;1979 - 1983;Japan
Honda;Concerto;1.5i;1990 - 1995;Japan
Honda;Concerto;1.6i;1991 - 1995;Japan
Honda;CR-V;2.0i;1996 - 1999;Japan
Honda;CR-V;2.0i;1997 - 1999;Japan
Honda;CR-V;2.0i ES;1999 - 2002;Japan
Honda;CR-V;2.0i ES Automatic;1999 - 2002;Japan
Honda;CR-V;2.0i LS;1999 - 2001;Japan
Honda;CR-V;2.0i LS Automatic;1999 - 2001;Japan
Honda;CR-V;2.0i Prestige;1999 - 2001;Japan
Honda;CR-V;2.0i Prestige Automatic;1999 - 2001;Japan
Innocenti;Mini;120 L;1974 - 1992;Italy
Innocenti;Mini;90;1974 - 1980;Italy
Iso Rivolta;IR 300;GT;1966 - 1970;Italy
Iso Rivolta;IR 450;;1964 - 1966;Italy
Iso Rivolta;IR 450;;1963 - 1964;Italy
Jaguar;240;;1967 - 1969;United Kingdom
Jaguar;340;;1967 - 1968;United Kingdom
Jaguar;E-Type;3.8 FHC;1961 - 1964;United Kingdom
Jaguar;E-Type;3.8 Roadster;1961 - 1964;United Kingdom
Jaguar;E-Type;4.2 FHC 2+2;1968 - 1971;United Kingdom
Jaguar;E-Type;4.2 Roadster;1964 - 1967;United Kingdom
Jaguar;E-Type;FHC 5.3 V12;1971 - 1973;United Kingdom
Jaguar;E-Type;Roadster 5.3 V 12;1973 - 1974;United Kingdom
Jaguar;Mk II;2.4;1959 - 1967;United Kingdom
Jaguar;Mk II;3.4;1959 - 1967;United Kingdom
Jaguar;Mk II;3.8;1959 - 1967;United Kingdom
Jaguar;XJ;12 5.3 Automatic;1968 - 1973;United Kingdom
Jaguar;XJ;12 5.3 Catalyst Sovereign Automatic;1986 - 1988;United Kingdom
Jaguar;XJ;6 4.2 Automatic;1968 - 1973;United Kingdom
Jaguar;XJ-SC;V12 HE Automatic;1985 - 1988;United Kingdom
Jaguar;XJS;Cabriolet V12 Automatic;1991 - 1993;United Kingdom
Jaguar;XJS;Coupé 4.0;1993 - 1994;United Kingdom
Jaguar;XK 120;DHC;1948 - 1954;United Kingdom
Jaguar;XK 120;FHC;1948 - 1954;United Kingdom
Jaguar;XK 120;Roadster;1948 - 1954;United Kingdom
Jaguar;XK 140;DHC;1954 - 1957;United Kingdom
Jaguar;XK 140;FHC;1954 - 1957;United Kingdom
Jaguar;XK 150;DHC;1957 - 1961;United Kingdom
Jaguar;XK 150;Fixed Head Coupe;1957 - 1961;United Kingdom
Jaguar;XK 150;OTS;1957 - 1961;United Kingdom
Jaguar;340;;1967 - 1969;United Kingdom
Jaguar;E-Type;4.2 FHC;1964 - 1967;United Kingdom
Jaguar;E-Type;4.2 FHC;1968 - 1971;United Kingdom
Jaguar;E-Type;4.2 FHC 2+2;1966 - 1967;United Kingdom
Jaguar;E-Type;4.2 Roadster;1968 - 1971;United Kingdom
Jaguar;E-Type;Roadster 5.3 V 12;1971 - 1973;United Kingdom
Jaguar;XJ;12 5.3 Automatic;1973 - 1979;United Kingdom
Jaguar;XJ;12 5.3 Catalyst Sovereign Automatic;1988 - 1989;United Kingdom
Jaguar;XJ;12 5.3 Double Six Automatic;1979 - 1981;United Kingdom
Jaguar;XJ;12 5.3 HE Automatic;1979 - 1981;United Kingdom
Jaguar;XJ;12 5.3 Sovereign HE Automatic;1981 - 1985;United Kingdom
Jaguar;XJ;12 5.3 Vanden Plas HE Automatic;1979 - 1981;United Kingdom
Jaguar;XJ;12 5.3 Vanden Plas HE Automatic;1981 - 1985;United Kingdom
Jaguar;XJ;6 2.8 Automatic;1968 - 1973;United Kingdom
Jaguar;XJ;6 3.4;1982 - 1985;United Kingdom
Jaguar;XJ;6 4.2;1979 - 1986;United Kingdom
Jaguar;XJ;6 4.2 Automatic;1973 - 1979;United Kingdom
Jaguar;XJ;Catalyst Automatic;1986;United Kingdom
Jaguar;XJ;6 4.2 Catalyst Sovereign Automatic;1986;United Kingdom
Jaguar;XJ;6 4.2 Sovereign;1979 - 1986;United Kingdom
Jaguar;XJ;V12 Catalyst Automatic;1989 - 1992;United Kingdom
Jaguar;XJ-S;Cabriolet V12 Catalyst Automatic;1988 - 1989;United Kingdom
Jaguar;XJ-S;Cabriolet V12 Catalyst Automatic;1989 - 1991;United Kingdom
Jaguar;XJ-S;Coupé 3.6 Automatic;1987 - 1989;United Kingdom
Jaguar;XJ-S;Coupé 3.6 Automatic;1985 - 1987;United Kingdom
Jaguar;XJ-S;Coupé 3.6 Catalyst Automatic;1988 - 1991;United Kingdom
Jaguar;XJ-S;Coupé V12 Automatic;1985 - 1989;United Kingdom
Jaguar;XJ-S;Coupé V12 Automatic;1988 - 1989;United Kingdom
Jaguar;XJ-S;Coupé V12 HE Automatic;1981 - 1985;United Kingdom
Jaguar;XJ-S;V12 Automatic;1975 - 1981;United Kingdom
Jaguar;XJ-S;V12 Catalyst Automatic;1986 - 1988;United Kingdom
Jaguar;XJ-S;V12 Catalyst Automatic;1989 - 1991;United Kingdom
Jaguar;XJ-SC;3.6 Automatic;1985 - 1987;United Kingdom
Jaguar;XJ-SC;V12 Catalyst Automatic;1986 - 1988;United Kingdom
Jaguar;XJR-S;Coupé V12 Automatic;1991 - 1993;United Kingdom
Jaguar;XJS;Cabriolet 4.0;1992 - 1993;United Kingdom
Jaguar;XJS;Cabriolet 4.0;1993 - 1994;United Kingdom
Jaguar;XJS;Cabriolet 6.0 V12 Automatic;1993 - 1995;United Kingdom
Jaguar;XJS;Coupé 4.0;1991 - 1993;United Kingdom
Jaguar;XJS;Coupé 6.0 V12 Automatic;1993 - 1995;United Kingdom
Jaguar;XJS;Coupé V12 Automatic;1991 - 1993;United Kingdom
Jaguar;XK 140;Roadster;1954 - 1957;United Kingdom
Jaguar;XK 150;150 S OTS;1957 - 1961;United Kingdom
Jeep;Cherokee;4.0 Euro Automatic;1991 - 1993;United States
Jeep;Cherokee;2.1 TD;1988 - 1989;United States
Jeep;Cherokee;2.1 TD;1989 - 1991;United States
Jeep;Cherokee;2.1 TD Base;1991 - 1993;United States
Jeep;Cherokee;2.1 TD Euro;1991 - 1995;United States
Jeep;Cherokee;2.1 TD Limited;1991 - 1995;United States
Jeep;Cherokee;2.5 Jamboree;1993 - 1995;United States
Jeep;Cherokee;2.5 TD Limited;1996 - 1997;United States
Jeep;Cherokee;2.5 TD LX;1996 - 1997;United States
Jeep;Cherokee;2.5 TD;1995 - 1996;United States
Jeep;Cherokee;2.5 TD;1996 - 1997;United States
Jeep;Cherokee;2.5 TD Anniversary;2000 - 2001;United States
Jeep;Cherokee;2.5 TD Country;1995 - 1996;United States
Jeep;Cherokee;2.5 TD Limited;1997 - 2000;United States
Jeep;Cherokee;2.5 TD LX;1995 - 1996;United States
Jeep;Cherokee;2.5 TD Mounty;1997 - 2000;United States
Jeep;Cherokee;2.5 TD Sport;1997 - 2000;United States
Jeep;Cherokee;4.0 Automatic;1994 - 1995;United States
Jeep;Cherokee;4.0 Country;1993 - 1995;United States
Jeep;Cherokee;4.0 Country;1995;United States
Jeep;Cherokee;4.0 Euro Automatic;1988 - 1991;United States
Jeep;Cherokee;4.0 Limited Automatic;1988 - 1991;United States
Jeep;Cherokee;4.0 Limited Automatic;1996 - 1997;United States
Jeep;Cherokee;4.0 Limited Automatic;1994 - 1995;United States
Jeep;Cherokee;4.0 Limited Automatic;1991 - 1993;United States
Jeep;Cherokee;4.0 Limited Automatic;1998 - 1999;United States
Jeep;Cherokee;4.0 Limited Automatic;1997 - 1998;United States
Jeep;Cherokee;4.0 Limited Automatic;1999 - 2000;United States
Jeep;Cherokee;4.0 Limited Automatic;2000 - 2001;United States
Jeep;Grand Cherokee;4.0 Euro Laredo Automatic;1995 - 1996;United States
Jeep;Grand Cherokee;4.0 Euro Limited Automatic;1995 - 1996;United States
Jeep;Grand Cherokee;4.0 Euro Limited Automatic;1993 - 1995;United States
Jeep;Grand Cherokee;5.2 Euro Limited Automatic;1995 - 1996;United States
Jeep;Grand Cherokee;5.2 Euro Limited Automatic;1993 - 1995;United States
Jeep;Wrangler;Hard Top 2.5;1988 - 1991;United States
Jeep;Wrangler;Hard Top 2.5;1996;United States
Jeep;Wrangler;Hard Top 2.5;1991 - 1996;United States
Jeep;Wrangler;Hard Top 2.5 Islander;1993;United States
Jeep;Wrangler;Hard Top 2.5 Laredo;1988 - 1991;United States
Jeep;Wrangler;Hard Top 2.5 Laredo;1991 - 1993;United States
Jeep;Wrangler;Hard Top 4.0;1996;United States
Jeep;Wrangler;Hard Top 4.0;1991 - 1993;United States
Jeep;Wrangler;Hard Top 4.0;1993 - 1996;United States
Jeep;Wrangler;Hard Top 4.0 Islander;1993;United States
Jeep;Wrangler;Hard Top 4.0 Laredo;1991 - 1992;United States
Jeep;Wrangler;Soft Top 2.5;1988 - 1989;United States
Jeep;Wrangler;Soft Top 2.5 Sahara;1988 - 1989;United States
Jensen;Interceptor;Mk II;1969 - 1971;United Kingdom
Jensen;Interceptor;Mk III;1972 - 1974;
Jensen;Interceptor;Mk III;1975 - 1976;United Kingdom
Jensen;Healey;Mk II;1973 - 1975;United Kingdom
Jensen;4 Litre;;1946 - 1948;United Kingdom
Jensen;Interceptor;Mk I;1950 - 1952;United Kingdom
Jensen;Interceptor;Mk I;1951 - 1952;United Kingdom
Jensen;Healey;Mk I;1972 - 1973;United Kingdom
Lamborghini;400;GT;1965 - 1966;Italy
Lamborghini;400;GT;1966 - 1968;Italy
Lamborghini;Countach;LP5000 S Quattrovalvole;1985 - 1988;Italy
Lamborghini;Diablo;5.7 V12;1990 - 1998;Italy
Lamborghini;Espada;S2;1970 - 1972;Italy
Lamborghini;Espada;S3;1972 - 1978;Italy
Lamborghini;Islero;400 GT;1968 - 1970;Italy
Lamborghini;Jarama;400 GT;1970 - 1972;Italy
Lamborghini;Jarama;S400 GT;1972 - 1976;Italy
Lamborghini;Urraco;P250;1973 - 1976;Italy
Lamborghini;Urraco;P300;1974 - 1979;Italy
Lamborghini;350;GT;1964 - 1967;Italy
Lamborghini;Countach;25 Anniversario;1988 - 1990;Italy
Lamborghini;Countach;LP400;1975 - 1978;Italy
Lamborghini;Countach;LP400 S;1978 - 1982;Italy
Lamborghini;Countach;LP500 S;1982 - 1985;Italy
Lamborghini;Diablo;5.7 V12 SV;1996 - 1999;Italy
Lamborghini;Diablo;5.7 V12 SV;1999 - 2000;Italy
Lamborghini;Diablo;5.7 V12 VT;1993 - 1999;Italy
Lamborghini;Diablo;5.7 V12 VT;1999 - 2000;Italy
Lamborghini;Diablo;6.0 V12 VT;2000 - 2001;Italy
Lamborghini;Diablo;Roadster 5.7 V12 VT;1996 - 1999;Italy
Lamborghini;Diablo;Roadster 5.7 V12 VT;1999 - 2000;Italy
Lamborghini;Espada;S1;1968 - 1970;Italy
Lamborghini;Jalpa;P350;1982 - 1988;Italy
Lamborghini;LM002;;1986 - 1993;Italy
Lamborghini;Miura;P400;1966 - 1969;Italy
Lamborghini;Miura;P400 S;1968 - 1971;Italy
Lamborghini;Miura;P400 SV;1971 - 1974;Italy
Lamborghini;Silhouette;P300;1976 - 1979;Italy
Lamborghini;Urraco;P200;1975 - 1977;Italy
Lancia;Aurelia;B10;1951 - 1952;Italy
Lancia;Beta;Coupé 2000;1981 - 1982;Italy
Lancia;Delta;HF Integrale Evoluzione II 16v Catalyst;1993 - 1994;Italy
Lancia;Flaminia;Touring GT;1961 - 1963;Italy
Lancia;Fulvia;Berlina;1969 - 1970;Italy
Lancia;Fulvia;Coupé 1.3 S;1970 - 1976;Italy
Lancia;Gamma;Coupé 2500;1980 - 1981;Italy
Lancia;2000;Berlina;1970 - 1975;Italy
Lancia;2000;Berlina i.e.;1972 - 1975;Italy
Lancia;2000;Coupé;1971 - 1975;Italy
Lancia;2000;Coupé HF;1972 - 1975;Italy
Lancia;Appia;Appia Vignale Convertible;1960 - 1963;Italy
Lancia;Aurelia;B50 Ccoupe;1950;Italy
Lancia;Beta;Berlina 1300;1974 - 1975;Italy
Lancia;Beta;Berlina 1300;1975 - 1977;Italy
Lancia;Beta;Berlina 1400;1972 - 1974;Italy
Lancia;Beta;Berlina 1600;1972 - 1975;Italy
Lancia;Beta;Berlina 1600;1975 - 1979;Italy
Lancia;Beta;Berlina 1600;1979 - 1981;Italy
Lancia;Beta;Berlina 1800;1972 - 1975;Italy
Lancia;Beta;Berlina 1800;1975 - 1976;Italy
Lancia;Beta;Berlina 2000;1978 - 1979;Italy
Lancia;Beta;Berlina 2000;1976 - 1978;Italy
Lancia;Beta;Berlina 2000;1979 - 1981;Italy
Lancia;Beta Berlina 2000;Beta (828) Berlina;1978 - 1979;Italy
Lancia;Beta;Coupé 1600;1973 - 1975;Italy
Lancia;Beta;Coupé 1600;1975 - 1978;Italy
Lancia;Beta;Coupé 1600;1978 - 1980;Italy
Lancia;Beta;Coupé 1800;1973 - 1975;Italy
Lancia;Beta;Coupé 2000;1978 - 1981;Italy
Lancia;Beta;Coupé 2000;1976 - 1978;Italy
Lancia;Beta;HPE 1600;1975 - 1978;Italy
Lancia;Beta;HPE 1600;1978 - 1980;Italy
Lancia;Beta;HPE 2000;1978 - 1981;Italy
Lancia;Beta;HPE 2000;1981 - 1982;Italy
Lancia;Beta;HPE 2000;1976 - 1978;Italy
Lancia;Beta;Montecarlo 2000;1975 - 1978;Italy
Lancia;Beta;Montecarlo 2000;1980 - 1981;Italy
Lancia;Beta;Spider 2000;1978 - 1981;Italy
Lancia;Beta;Spider 2000;1981 - 1982;Italy
Lancia;Beta;Spider 2000;1975 - 1978;Italy
Lancia;Coupé;1300;1982 - 1984;Italy
Lancia;Coupé;2000 i.e.;1982 - 1984;Italy
Lancia;Coupé;Volumex;1983 - 1984;Italy
Lancia;Dedra;1.6 16v LE;1998 - 1999;Italy
Lancia;Dedra;1.6 i.e.;1993 - 1994;Italy
Lancia;Dedra;1.6 i.e.;1990 - 1994;Italy
Lancia;Dedra;1.6 LE;1994 - 1998;Italy
Lancia;Dedra;1.6 LS;1994 - 1997;Italy
Lancia;Dedra;1.8 16v LE;1996 - 1997;Italy
Lancia;Dedra;1.8 16v LS;1997 - 1999;Italy
Lancia;Dedra;1.8 16v LS;1996 - 1997;Italy
Lancia;Dedra;1.8 i.e.;1990 - 1993;Italy
Lancia;Dedra;1.8 i.e.;1993 - 1994;Italy
Lancia;Dedra;1.8 i.e. LE;1993;Italy
Lancia;Dedra;1.8 i.e. LE;1993 - 1994;Italy
Lancia;Dedra;1.8 LE;1994 - 1996;Italy
Lancia;Dedra;1.8 LS;1994 - 1996;Italy
Lancia;Dedra;1.9 td LE;1995 - 1999;Italy
Lancia;Dedra;1.9 td LS;1994 - 1997;Italy
Lancia;Dedra;2.0 16v LE;1994 - 1996;Italy
Lancia;Dedra;2.0 16v LX;1994 - 1996;Italy
Lancia;Dedra;2.0 i.e.;1990 - 1994;Italy
Lancia;Dedra;2.0 i.e. LS;1993 - 1994;Italy
Lancia;Dedra;2.0 LS Automatic;1994 - 1996;Italy
Lancia;Dedra;2.0 tds;1991 - 1993;Italy
Lancia;Dedra;2.0 tds LE;1993 - 1994;Italy
Lancia;Dedra;HF Integrale;1991 - 1994;Italy
Lancia;Dedra;HF Turbo;1991 - 1994;Italy
Lancia;Dedra;Station Wagon 1.6 16v LE;1998 - 1999;Italy
Lancia;Dedra;Station Wagon 1.6 LE;1994 - 1998;Italy
Lancia;Dedra;Station Wagon 1.6 LS;1994 - 1997;Italy
Lancia;Dedra;Station Wagon 1.8 16v LE;1996 - 1997;Italy
Lancia;Dedra;Station Wagon 1.8 16v LS;1996 - 1997;Italy
Lancia;Dedra;Station Wagon 1.8 16v LX;1997 - 1997;Italy
Lancia;Dedra;Station Wagon 1.8 LE;1994 - 1996;Italy
Lancia;Dedra;Station Wagon 1.8 LS;1994 - 1996;Italy
Lancia;Dedra;Station Wagon 1.9 td LE;1995 - 1999;Italy
Lancia;Dedra;Station Wagon 1.9 td LS;1994 - 1997;Italy
Lancia;Dedra;Station Wagon 2.0 16v Integrale LS;1994 - 1996;Italy
Lancia;Dedra;Station Wagon 2.0 16v LS;1994 - 1996;Italy
Lancia;Dedra;Station Wagon 2.0 16v LX;1994 - 1996;Italy
Lancia;Delta;1.6 i.e.;1993 - 1996;Italy
Lancia;Delta;1.6 i.e. LE;1993 - 1996;Italy
Lancia;Delta;1.6 LE;1996;Italy
Lancia;Delta;1.6 LE;1996 - 1997;Italy
Lancia;Delta;1.6 LS;1997 - 1999;Italy
Lancia;Delta;1.6 LX;1996;Italy
Lancia;Delta;1.6 LX;1996 - 1997;Italy
Lancia;Delta;1.8 16v LE;1996 - 1997;Italy
Lancia;Delta;1.8 16v LX;1996 - 1997;Italy
Lancia;Delta;1.8 GT;1996 - 1997;Italy
Lancia;Delta;1.8 i.e.;1993 - 1996;Italy
Lancia;Delta;1.8 LS;1997 - 1999;Italy
Lancia;Delta;1.9 tds;1994 - 1996;Italy
Lancia;Delta;1.9 tds LE;1996 - 1997;Italy
Lancia;Delta;1.9 tds LE;1994 - 1996;Italy
Lancia;Delta;1.9 tds LS;1997 - 1999;Italy
Lancia;Delta;1300;1980 - 1986;Italy
Lancia;Delta;1300;1986 - 1987;Italy
Lancia;Delta;1500;1983 - 1986;Italy
Lancia;Delta;1500;1987;Italy
Lancia;Delta;1600 GT;1983 - 1986;Italy
Lancia;Delta;1600 HF Rallye Turbo i.e Catalyst;1989 - 1991;Italy
Lancia;Delta;1600 HF Turbo;1983 - 1986;Italy
Lancia;Delta;1600 HF Turbo Martini;1984;Italy
Lancia;Delta;1600 i.e. GT;1986 - 1987;Italy
Lancia;Delta;1600 i.e. Catalyst;1992 - 1993;Italy
Lancia;Delta;1600 i.e. Catalyst Gran Turismo;1988 - 1989;Italy
Lancia;Delta;1600 i.e. Catalyst GT;1987 - 1992;Italy
Lancia;Delta;1600 i.e. Catalyst Sport;1992 - 1996;Italy
Lancia;Delta;1600 i.e. Catalyst Super;1987 - 1989;Italy
Lancia;Delta;1900 tds;1986 - 1989;Italy
Lancia;Delta;2.0 16v GT;1994 - 1996;Italy
Lancia;Delta;2.0 16v LS;1993 - 1994;Italy
Lancia;Delta;2.0 HF turbo 16v LS;1993 - 1995;Italy
Lancia;Delta;HF 4WD;1986 - 1988;Italy
Lancia;Delta;HF Integrale 16v;1989 - 1990;Italy
Lancia;Delta;HF Integrale 8v;1988 - 1989;Italy
Lancia;Delta;HF Integrale 8v Catalyst;1990 - 1992;Italy
Lancia;Delta;HF Integrale Evoluzione I 8v Catalyst;1992 - 1993;Italy
Lancia;Delta;HPE 1.6;1996 - 1999;Italy
Lancia;Delta;HPE 1.6;1996;Italy
Lancia;Delta;HPE 1.8;1996 - 1999;Italy
Lancia;Delta;HPE 1.9 td;1995 - 1999;Italy
Lancia;Delta;HPE 2.0 16v;1995 - 1996;Italy
Lancia;Delta;HPE 2.0 HF turbo 16v;1995 - 1996;Italy
Lancia;Delta;HPE 2.0 HF turbo 16v;1996 - 1999;Italy
Lancia;Fulvia;Berlina 1C;1963 - 1967;Italy
Lancia;Fulvia;Berlina 2C;1964 - 1967;Italy
Lancia;Fulvia;Berlina GT;1967 - 1969;Italy
Lancia;Fulvia;Berlina GTE;1968 - 1969;Italy
Lancia;Fulvia;Berlina;1970 - 1972;Italy
Lancia;Fulvia;Coupé 1.2;1965 - 1967;Italy
Lancia;Fulvia;Coupé 1.2;1967 - 1969;Italy
Lancia;Fulvia;Coupé 1.2 HF;1966 - 1967;Italy
Lancia;Fulvia;Coupé 1.3;1967 - 1969;Italy
Lancia;Fulvia;Coupé 1.3 HF;1967 - 1969;Italy
Lancia;Fulvia;Coupé 1.3 S Montecarlo;1973;Italy
Lancia;Fulvia;Coupé 1.3 S Rallye;1968 - 1970;Italy
Lancia;Fulvia;Coupé 1.3 S Safari;1973 - 1975;Italy
Lancia;Fulvia;Coupé 1.6 HF;1968 - 1970;Italy
Lancia;Fulvia;Coupé 1.6 HF;1970 - 1973;Italy
Lancia;Fulvia;Coupé 1.6 HF Lusso;1970 - 1973;Italy
Lancia;Fulvia;Coupé 3;1975 - 1976;Italy
Lancia;Fulvia;Fulvia Zagato Sport;1971 - 1972;Italy
Lancia;Fulvia;Fulvia Zagato Sport;1965 -1967;Italy
Lancia;Gamma;Berlina 2500;1980 - 1981;Italy
