Category,Version,Supplier,Supplier_type,Country,City,Address,IATA,City_airport,climate_impact_kg_co2,flight_distance_km,co2_emissions_kg,climate_impact_of_contrails_ozone_formation_etc_kg,Fuel_consumption_l,total_climate_impact
Citroën,,ETS Ersatzteilservice AG,spare parts,Switzerland,Zürich,"Usterstrasse 65, 8600 Dübendorf, Switzerland",ZRH,Zürich,427.0,1770.0,158.0,269.0,45.0,696.0
Citroën,,Excelsior Motors,service,,,"PO Box 4446, Midway, KY 40347, USA",NNG,,3584.0,10614.0,1215.0,2369.0,481.0,5953.0
Citroën,,Fitzback Garage,service,Canada,Abbotsford,"8100 St-Thomas-D'Aquin, Saint-Hyacinthe, QC J2R 1S8, Canada",YXX,Abbotsford,2611.0,8311.0,889.0,1722.0,352.0,4333.0
Citroën,,FPS West,spare parts,Ghana,Wa,"17020 Sylvester Rd SW, Normandy Park, WA 98166, USA",WZA,Wa,,,,,,
Citroën,,French Classics Ltd.,service,United Kingdom,Longfield,"Fawkham Rd, Longfield DA3 7BJ, UK",LGW,London,427.0,1590.0,160.0,267.0,42.0,694.0
Citroën,,Full Fart AB,service,Sweden,Umeå,"Grindhult 212, 451 92 Uddevalla, Sweden",UME,Umeå,885.0,3444.0,312.0,573.0,123.0,1458.0
Citroën,,Garage du Lac Crescia,service,Switzerland,Zürich,"Rue de Neuchâtel 25, 2072 Saint Blaise, Switzerland",ZRH,Zürich,427.0,1770.0,158.0,269.0,45.0,696.0
Citroën,,Garage Häfliger & Kunz AG,service,Switzerland,Zürich,"Industriestrasse 4, 4658 Däniken, Switzerland",ZRH,Zürich,427.0,1770.0,158.0,269.0,45.0,696.0
Citroën,,Garage Hydraulique,service,Netherlands,Zwolle,"Sterrekroos 3, 4941 VZ Raamsdonksveer, Netherlands",HLM,Holland,1850.0,6322.0,634.0,1215.0,251.0,3065.0
Citroën,,Garage Minke Hilgenberg,service,Netherlands,Zwolle,"Veenweg 60, 7336 AG Apeldoorn, Netherlands",HLM,Holland,1850.0,6322.0,634.0,1215.0,251.0,3065.0
Citroën,,Garage Normandie,service,Netherlands,Zwolle,"Aduarderdiepsterweg 13, 9745 EL Groningen, Netherlands",HLM,Holland,1850.0,6322.0,634.0,1215.0,251.0,3065.0
Citroën,,Garage Patrick Marchesseau,service,France,Yerres,"39 Rue des Écoles, 17600 Corme-Royal, France",AVO,Avon,1998.0,6735.0,684.0,1314.0,271.0,3312.0
Citroën,,GS/AMI Service,spare parts,France,Yerres,"Le Souliès, 12190 Coubisou, France",AVO,Avon,1998.0,6735.0,684.0,1314.0,271.0,3312.0
Citroën,,HD 19 Restauration Citroën DS-SM,service,Spain,Roses,"6b Rue des Perdrix, 94520 Mandres-les-Roses, France",RSE,Roses,7394.0,18244.0,2490.0,4904.0,985.0,12298.0
Citroën,,Hoffmann 2CV,spare parts,Germany,Zwickau,"Eyacher Straße 53A, 82386 Oberhausen, Germany",HOF,Hof,1623.0,5691.0,559.0,1065.0,221.0,2688.0
Citroën,,Hubert Meyer GmbH,service,Germany,Zwickau,"Birkenfelder Str. 11, Büchenbronn 75180 Pforzheim, Germany",HOF,Hof,1623.0,5691.0,559.0,1065.0,221.0,2688.0
Citroën,,Karl´s Autowerkstatt,service,Germany,Zwickau,"Brensbacher Straße 80, Wersau 64395 Brensbach, Germany",HOF,Hof,1623.0,5691.0,559.0,1065.0,221.0,2688.0
Citroën,,Klaus Moszek – Klassik Motor,service,Germany,Zwickau,"Harffstraße 110A, 40591 Düsseldorf, Germany",HOF,Hof,1623.0,5691.0,559.0,1065.0,221.0,2688.0
Citroën,,Konijnendijk Klassieke Automobielen,service,Netherlands,Zwolle,"Warmoeziersweg 19, 2661 EH Bergschenhoek, Netherlands",HLM,Holland,1850.0,6322.0,634.0,1215.0,251.0,3065.0
Citroën,,Koslowski GmbH,service,Germany,Zwickau,"Neuköllner Straße 9, 45699 Herten, Germany",HOF,Hof,1623.0,5691.0,559.0,1065.0,221.0,2688.0
Citroën,,L’atelier de la 2CV,service,France,Yerres,"92 Avenue de la Libération, 06130 Grasse, France",AVO,Avon,1998.0,6735.0,684.0,1314.0,271.0,3312.0
Citroën,,La Passion Automobile,service,Germany,Zwickau,"Versmolder Str. 21, 33829 Borgholzhausen, Germany",HOF,Hof,1623.0,5691.0,559.0,1065.0,221.0,2688.0
Citroën,,Leen APK,service,Netherlands,Zwolle,"Gouderaksedijk 1, 2808 NA Gouda, Netherlands",HLM,Holland,1850.0,6322.0,634.0,1215.0,251.0,3065.0
Citroën,,Les Automobiles de Rik,service,Canada,Abbotsford,"370 Québec 343, Saint-Alphonse-Rodriguez, Québec J0K 1W0, Canada",YXX,Abbotsford,2611.0,8311.0,889.0,1722.0,352.0,4333.0
Citroën,,Losson Automobiles,service,France,Yerres,"Rue de la Féculerie, 71700 Tournus, France",AVO,Avon,1998.0,6735.0,684.0,1314.0,271.0,3312.0
Citroën,,Maison de la 2cv,service,France,Yerres,"Damaroues E, 04290 Salignac, France",AVO,Avon,1998.0,6735.0,684.0,1314.0,271.0,3312.0
Citroën,,MARRS – Martin Automotive Repair and Racing Services,service,United States,Santa Clarita,"26950 Furnivall Avenue, Canyon Country, Santa Clarita, CA 91351, USA",RIA,Santa Clarita,2869.0,8966.0,976.0,1893.0,386.0,4762.0
Citroën,,Martins Service,spare parts,Germany,Zwickau,"Horkheimer Straße 12, Dürrenzimmern 74336 Brackenheim, Germany",HOF,Hof,1623.0,5691.0,559.0,1065.0,221.0,2688.0
Citroën,,Matt’s Soft Tops,spare parts,United Kingdom,Chichester,"13 Lewis Road, Chichester, West Sussex PO19 7LZ, UK",QUG,Chichester,,,,,,
Citroën,,Mega2CV,service,France,Yerres,"35 Le Pourtaou, 31800 Larcan, France",AVO,Avon,1998.0,6735.0,684.0,1314.0,271.0,3312.0
Citroën,,Mehari 2CV Passion,spare parts,France,Yerres,"Avenue de Londres, 83870 Signes, France",AVO,Avon,1998.0,6735.0,684.0,1314.0,271.0,3312.0
Citroën,,Méhari Côte d’Azur,spare parts,France,Yerres,"831 Avenue des Bousquets, 83390 Cuers, France",AVO,Avon,1998.0,6735.0,684.0,1314.0,271.0,3312.0
Citroën,,Mehari2cv.es,service,Spain,Zubia,"Carrer Drets Humans, 13, 15, 08870 Sitges, Barcelona, Spain",LMZ,Palma,2325.0,7587.0,794.0,1531.0,314.0,3856.0
Citroën,,MM Motors,service,Germany,Zwickau,"Ehrenfelsstraße 5, 10318 Berlin, Germany",HOF,Hof,1623.0,5691.0,559.0,1065.0,221.0,2688.0
Citroën,,MWR Motors,service,Canada,London,"The Arches 11 &12, Latchmere Road, London SW11 2DX, UK",LGW,London,427.0,1590.0,160.0,267.0,42.0,694.0
Citroën,,Nathy Traction,spare parts,France,Yerres,"1075 Rte de Formerie, 76390 Conteville, France",AVO,Avon,1998.0,6735.0,684.0,1314.0,271.0,3312.0
Citroën,,Negotroc,spare parts,France,Yerres,"1 Rue Principale, 68127 Biltzheim, France",AVO,Avon,1998.0,6735.0,684.0,1314.0,271.0,3312.0
Citroën,,NPM Citroen 2CV Service,spare parts,Italy,Vittoria,"Via Polesine, 1431, 37043 Castagnaro, VR, Italy",BAR,Bar,6055.0,15562.0,2042.0,4013.0,808.0,10068.0
Citroën,,Oldtimer-Service Breuer,service,Germany,Zwickau,"Kiebitzhörn 4, 22885 Barsbüttel, Germany",HOF,Hof,1623.0,5691.0,559.0,1065.0,221.0,2688.0
Citroën,,Oléron Classic Cars,service,France,Yerres,"1 Gustave Eiffel, 17550 Dolus-d'Oléron, France",AVO,Avon,1998.0,6735.0,684.0,1314.0,271.0,3312.0
Citroën,,Pallas Auto,service,,,"F7, Northfleet Industrial Estate, Lower Rd, Gravesend DA11 9SW, UK",NNG,,3584.0,10614.0,1215.0,2369.0,481.0,5953.0
Citroën,,Pascal Quigniot Restauration ID & DS,service,France,Yerres,"Domaine de Chaunoy Rue Saint Martin, 77115 Blandy, France",AVO,Avon,1998.0,6735.0,684.0,1314.0,271.0,3312.0
Citroën,,Pièces Auto Traction 2D (PAT2D),spare parts,France,Yerres,"8 Impasse Thomas Edison, 26250 Livron-sur-Drôme, France",AVO,Avon,1998.0,6735.0,684.0,1314.0,271.0,3312.0
Citroën,,Rakkatrac and Co,spare parts,Sweden,Umeå,Asmundtorpsvägen 10 417 46 Göteborg Sweden,UME,Umeå,885.0,3444.0,312.0,573.0,123.0,1458.0
Citroën,,Retro Stock,spare parts,France,Yerres,"9 Rue des Frères Lumière, 34830 Jacou, France",AVO,Avon,1998.0,6735.0,684.0,1314.0,271.0,3312.0
Citroën,,Service 2CV,service,Belgium,Zwijndrecht,"Wijdhagestraat 125, 8530 Harelbeke, Belgium",HLM,Holland,1850.0,6322.0,634.0,1215.0,251.0,3065.0
Citroën,,SM2A,service,France,Yerres,"19 RN 71, 10250 Mussy-sur-Seine, France",AVO,Avon,1998.0,6735.0,684.0,1314.0,271.0,3312.0
Citroën,,Stålnackes DS-butiken AB,spare parts,Sweden,Umeå,Asmundtorpsvägen 10 417 46 Göteborg Sweden,UME,Umeå,885.0,3444.0,312.0,573.0,123.0,1458.0
Citroën,,Stefan Lurf Automobilhandwerk,service,Austria,Wolfsberg,"Klopstockgasse 5, 1160 Wien, Austria",VCE,Venice,503.0,1964.0,185.0,318.0,73.0,821.0
Citroën,,The 2CV Shop,spare parts,United Kingdom,Warminster,"Deverill Road Trading Estate 22, Deverill Road, Sutton Veny, Warminster BA12 7BZ, UK",SRW,Salisbury,1814.0,6223.0,623.0,1192.0,246.0,3006.0
Citroën,,Tom Verheyden,spare parts,Belgium,Zwijndrecht,"Buitingstraat 19, Paal 3583 Beringen, Belgium",HLM,Holland,1850.0,6322.0,634.0,1215.0,251.0,3065.0
Citroën,,TPV France,spare parts,France,Yerres,"27 Rue du Colonel Arnaud Beltrame, 77160 Provins, France",AVO,Avon,1998.0,6735.0,684.0,1314.0,271.0,3312.0
Citroën,,Treffpunkt Citrön,spare parts,Germany,Zwickau,"Weihersfeld 58, 41379 Brüggen, Germany",HOF,Hof,1623.0,5691.0,559.0,1065.0,221.0,2688.0
Citroën,,Vlaardingen Classics,service,Netherlands,Zwolle,"Industrieweg 17-19, 3133 EE Vlaardingen, Netherlands",HLM,Holland,1850.0,6322.0,634.0,1215.0,251.0,3065.0
Citroën,,Volker Hammes,service,Germany,Zwickau,"Daimlerstraße 17, 41564 Kaarst, Germany",HOF,Hof,1623.0,5691.0,559.0,1065.0,221.0,2688.0
Classic Car Dealer,,Carrosso Classic & Sportscars,service,Netherlands,Zwolle,"Eekstraat 2, 8375 HN Oldemarkt, Netherlands",HLM,Holland,1850.0,6322.0,634.0,1215.0,251.0,3065.0
Classic Car Dealer,,Classic Open,service,Netherlands,Zwolle,"Bonnetstraat 33, 6718 XN Ede, Netherlands",HLM,Holland,1850.0,6322.0,634.0,1215.0,251.0,3065.0
Classic Car Dealer,,Cool Classic Club,service,Netherlands,Zwolle,"Energiestraat 3, 1411 AN Naarden, Netherlands",HLM,Holland,1850.0,6322.0,634.0,1215.0,251.0,3065.0
American Brands,2.0,Heideveld Classics,service,Netherlands,Zwolle,"Nervistraat 18, 8013 RS Zwolle, Netherlands",HLM,Holland,1850.0,6322.0,634.0,1215.0,251.0,3065.0
Bentley,4.0,Het Klassiekerhuis,service,Netherlands,Zwolle,"Bommelsedijk 19a, 3256 LD Achthuizen, Netherlands",HLM,Holland,1850.0,6322.0,634.0,1215.0,251.0,3065.0
British Brands,2.0,KennisCars,service,Netherlands,Zwolle,"Zeelberg 26, 5555 XE Valkenswaard, Netherlands",HLM,Holland,1850.0,6322.0,634.0,1215.0,251.0,3065.0
British Brands,1.0,Kymmell Motorcars,service,Netherlands,Zwolle,"Bloemendaalsestraatweg 91, 2082 GL Santpoort-Zuid, Netherlands",HLM,Holland,1850.0,6322.0,634.0,1215.0,251.0,3065.0
Classic Car Dealer,,Legendary Classics,service,Netherlands,Zwolle,"Leerlooierstraat 5, 4871 EN Etten-Leur, Netherlands",HLM,Holland,1850.0,6322.0,634.0,1215.0,251.0,3065.0
Alfa Romeo,3.0,Montagna d’Oro,service,Netherlands,Zwolle,"Houtwal 30b, 8431 EX Oosterwolde, Netherlands",HLM,Holland,1850.0,6322.0,634.0,1215.0,251.0,3065.0
Classic Car Dealer,,Oldtimers Gilis,service,Belgium,Zwijndrecht,"Gaston Geenslaan 1, 3200 Aarschot, Belgium",HLM,Holland,1850.0,6322.0,634.0,1215.0,251.0,3065.0
Classic Car Dealer,,Speed 8 Classics Sales & Service,service,Belgium,Zwijndrecht,"Lierselei 130, 2390 Malle, Belgium",HLM,Holland,1850.0,6322.0,634.0,1215.0,251.0,3065.0
Classic Car Dealer,,1900 Classics BV,service,Netherlands,Zwolle,"Vreelandseweg 7a, 1216 CG Hilversum, Netherlands",HLM,Holland,1850.0,6322.0,634.0,1215.0,251.0,3065.0
Classic Car Dealer,,4 Star Classics,service,,,"Unit 3, Old Park Iron Works, Main Road, Kingsley GU35 9LY, UK",NNG,,3584.0,10614.0,1215.0,2369.0,481.0,5953.0
Classic Car Dealer,,A + C Auto Classic,service,Germany,Zwickau,"Bahnhofstraße 19, 56427 Siershahn, Germany",HOF,Hof,1623.0,5691.0,559.0,1065.0,221.0,2688.0
Classic Car Dealer,,A1 Auto Classics,service,United States,Hollywood,"1950 Grant St, Hollywood, FL 33020, USA",HWO,Hollywood,1992.0,6719.0,682.0,1310.0,270.0,3302.0
Classic Car Dealer,,A1M Retro Classics,service,United States,Durham,"Ketton Garage, 10 Durham Rd, Coatham Mundeville, Darlington DL1 3LZ, UK",DHD,Durham,6824.0,17103.0,2300.0,4525.0,910.0,11349.0
Classic Car Dealer,,ABH auto’s & accessoires,service,Netherlands,Zwolle,"Kruisweg 1525, 2142 LB Cruquius, Netherlands",HLM,Holland,1850.0,6322.0,634.0,1215.0,251.0,3065.0
Classic Car Dealer,,Absolute Classic Cars,service,Argentina,Lincoln,"Westmoor Lane, Lincoln LN1 2JW, UK",LNK,Lincoln,2174.0,7205.0,743.0,1431.0,294.0,3605.0
Classic Car Dealer,,AC classics,service,Germany,Zwickau,"Hauptstraße 28, Körrenzig 52441 Linnich, Germany",HOF,Hof,1623.0,5691.0,559.0,1065.0,221.0,2688.0
Classic Car Dealer,,AC Youngtimer,service,France,Yerres,"304 Av. de Boulac, 33127 Saint-Jean-d'Illac, France",AVO,Avon,1998.0,6735.0,684.0,1314.0,271.0,3312.0
Classic Car Dealer,,Aclassics,service,Netherlands,Zwolle,"Gageldijk 198, 3566 MJ Utrecht, Netherlands",HLM,Holland,1850.0,6322.0,634.0,1215.0,251.0,3065.0
Classic Car Dealer,,AD Sportscars,service,Belgium,Zwijndrecht,"Sint-Martinusweg 189, 1930 Zaventem, Belgium",HLM,Holland,1850.0,6322.0,634.0,1215.0,251.0,3065.0
Classic Car Dealer,,Adelman Sportwagen,service,Germany,Zwickau,"Wiebestraße 36-37, 10553 Berlin, Germany",HOF,Hof,1623.0,5691.0,559.0,1065.0,221.0,2688.0
Classic Car Dealer,,Affordable Classics San Diego,service,United States,Oak Creek,"15196 Oak Creek Rd, El Cajon, CA 92021, USA",OAK,Oak Creek,2948.0,9165.0,1002.0,1946.0,396.0,4894.0
Classic Car Dealer,,AixClusive cars ’n more GmbH & Co. KG,service,Germany,Zwickau,"Rotter Bruch 14, 52068 Aachen, Germany",HOF,Hof,1623.0,5691.0,559.0,1065.0,221.0,2688.0
Classic Car Dealer,,AJM Classics Inc,service,Australia,Brunswick,"561, Ferdinand Boulevard, Dieppe, New Brunswick E1A 7G1, Canada",NHZ,Brunswick,1393.0,5049.0,481.0,912.0,190.0,2305.0
Classic Car Dealer,,AK Sportscars Ltd.,service,Canada,Peterborough,"Shelby House 5-8, Frankland Commerce Park, Peterborough PE7 3NN, UK",YPQ,Peterborough,1618.0,5675.0,557.0,1061.0,220.0,2679.0
Classic Car Dealer,,AK-automobiles Bergeijk,service,Netherlands,Zwolle,"Elskensakker 30, 5571 SK Bergeijk, Netherlands",HLM,Holland,1850.0,6322.0,634.0,1215.0,251.0,3065.0
Classic Car Dealer,,Alan Carrington Classic Cars,service,United Kingdom,Maidstone,"Pilgrims Way, Maidstone, Kent ME17 1RD, UK",XCM,Kent,1750.0,6043.0,601.0,1149.0,238.0,2899.0
Classic Car Dealer,,Albert Michel,service,Belgium,Zwijndrecht,"Rue du Gazomètre 94, 7100 La Louvière, Belgium",HLM,Holland,1850.0,6322.0,634.0,1215.0,251.0,3065.0
Classic Car Dealer,,Alex Holland Classic Cars,service,Australia,Whyalla,"12 Chalmers Cres, Mascot NSW 2020, Australia",WYA,Whyalla,6789.0,17032.0,2288.0,4501.0,905.0,11290.0
Classic Car Dealer,,Alexander Automotive of Downtown Franklin,service,United States,Franklin,"111 Alpha Drive, Franklin, TN 37064, USA",FKL,Franklin,1701.0,5908.0,585.0,1117.0,231.0,2818.0
Classic Car Dealer,,Alltagsklassiker,service,Germany,Zwickau,"Oberkasseler Str. 25, 53639 Bonn, Germany",HOF,Hof,1623.0,5691.0,559.0,1065.0,221.0,2688.0
Classic Car Dealer,,Almere Classic Cars,service,Netherlands,Zwolle,"Ambachtsmark 65, 1355 EE Almere Haven, Netherlands",HLM,Holland,1850.0,6322.0,634.0,1215.0,251.0,3065.0
Classic Car Dealer,,Alphons Ruyl Fine Classic Cars,service,Netherlands,Zwolle,"Stationstraat 85, 6181 AE Elsloo, Netherlands",HLM,Holland,1850.0,6322.0,634.0,1215.0,251.0,3065.0
Classic Car Dealer,,American Dream Car Classics,service,United States,Kearny,"154 Belgrove Drive, Kearny, NJ 07032, USA",GXY,Greeley,2408.0,7798.0,821.0,1587.0,325.0,3995.0
Classic Car Dealer,,AMM Motor Classic GmbH,service,Germany,Zwickau,"Elisabethstraße 17, 40880 Ratingen, Germany",HOF,Hof,1623.0,5691.0,559.0,1065.0,221.0,2688.0
Classic Car Dealer,,Andreas Wüest AG,service,Switzerland,Zürich,"Mauerweg 358, 5705 Hallwil, Switzerland",ZRH,Zürich,427.0,1770.0,158.0,269.0,45.0,696.0
Classic Car Dealer,,Andrev`s Garage,service,Ireland,Loch Garman,"Corrib Dr, Limerick, Ireland",YCC,Cornwall,1506.0,5365.0,519.0,987.0,205.0,2493.0
Classic Car Dealer,,Andy’s Classic Cars,service,Germany,Zwickau,"Nußbergerstraße 1, 94234 Viechtach, Germany",HOF,Hof,1623.0,5691.0,559.0,1065.0,221.0,2688.0
Classic Car Dealer,,AnMark Classic,service,Germany,Zwickau,"Wilhelmstraße 28, 42489 Wülfrath, Germany",HOF,Hof,1623.0,5691.0,559.0,1065.0,221.0,2688.0
Classic Car Dealer,,Aquarama BeC,service,Italy,Vittoria,"Via della Segale, 49, 06135 Perugia, Alto Adige, Italy",BAR,Bar,6055.0,15562.0,2042.0,4013.0,808.0,10068.0
Classic Car Dealer,,Arden Automobilbau GmbH,service,Germany,Zwickau,"Untergath 175, 47805 Krefeld, Germany",HOF,Hof,1623.0,5691.0,559.0,1065.0,221.0,2688.0
Classic Car Dealer,,Arizona Classic Car Sales,service,United States,Phoenix,"2010 W Parkside Ln #118, Phoenix, AZ 58027, USA",DVT,Phoenix,2793.0,8772.0,950.0,1843.0,376.0,4636.0
Classic Car Dealer,,Arjun Auto,service,Canada,Milton,"19 East Milton Road, Gravesend, Kent DA12 2JL, UK",NSE,Milton,1671.0,5823.0,574.0,1096.0,227.0,2767.0
Classic Car Dealer,,Arnold Classic GmbH,service,Germany,Zwickau,"Rodenberger Str. 7, 31867 Lauenau, Germany",HOF,Hof,1623.0,5691.0,559.0,1065.0,221.0,2688.0
Classic Car Dealer,,Art & Revs,service,Luxembourg,Luxembourg,"30 Rue des Bruyères, 1274 Hesperange, Luxembourg",LUX,Luxembourg,489.0,1759.0,182.0,307.0,51.0,796.0
Classic Car Dealer,,Art & Speed,service,United States,Collierville,"141 Eastley St, Collierville, TN 38017, USA",LIT,Little Rock,2175.0,7207.0,743.0,1432.0,294.0,3607.0
Classic Car Dealer,,Artmotors,service,France,Yerres,"63 Rue de la Brasserie, 18200 Saint-Amand-Montrond, France",AVO,Avon,1998.0,6735.0,684.0,1314.0,271.0,3312.0
Classic Car Dealer,,Asphalt Classics,service,France,Yerres,"D24b Route d'Eygalières, 13660 Orgon, France",AVO,Avon,1998.0,6735.0,684.0,1314.0,271.0,3312.0
Classic Car Dealer,,Atelier 46,service,France,Yerres,"9 Rue Paul Napoléon Roinard, 92400 Courbevoie, France",AVO,Avon,1998.0,6735.0,684.0,1314.0,271.0,3312.0
Classic Car Dealer,,Atlantis Motor Group,service,United States,Boca Raton,"351 Yamato Rd, Boca Raton, FL 33431, USA",BCT,Boca Raton,1981.0,6687.0,678.0,1302.0,268.0,3283.0
Classic Car Dealer,,Atomic Motors,service,United States,Sunset,"704 W Sunset Rd, Henderson, NV 89011, USA",TNT,Miami,517.0,1896.0,191.0,327.0,75.0,844.0
Classic Car Dealer,,August Luxury Motorcars,service,Canada,Abbotsford,"3510 Spectrum Court, Kelowna, BC V1V 2Z1, Canada",YXX,Abbotsford,2611.0,8311.0,889.0,1722.0,352.0,4333.0
Classic Car Dealer,,Auto Classica of Sweden AB,service,Sweden,Umeå,"Mässingsgatan 3, 271 39 Ystad, Sweden",UME,Umeå,885.0,3444.0,312.0,573.0,123.0,1458.0
Classic Car Dealer,,Auto Classico,service,United Kingdom,Bristol,"Henfield Business Park, Westerleigh Road, Coalpit Heath, Bristol, UK",BRS,Bristol,430.0,1540.0,163.0,267.0,64.0,697.0
Classic Car Dealer,,Auto CM – Auto di lusso e d’epoca,service,Italy,Vittoria,"Via Spagna, 6, 35010 Vigonza, PD, Italy",BAR,Bar,6055.0,15562.0,2042.0,4013.0,808.0,10068.0
Classic Car Dealer,,Auto Collectors Garage,service,United States,Houston,"10812 Fallstone Rd #400, Houston, TX 77099, USA",EFD,Houston,2387.0,7745.0,814.0,1573.0,322.0,3960.0
Classic Car Dealer,,Auto Connection INC,service,United States,Canton,"5202 Limerick Ave NW, North Canton, OH 44720, USA",CTK,Canton,2116.0,7058.0,724.0,1392.0,286.0,3508.0
Classic Car Dealer,,Auto Dürst,service,Switzerland,Zürich,"Herawisweg 34, 7203 Trimmis, Switzerland",ZRH,Zürich,427.0,1770.0,158.0,269.0,45.0,696.0
Classic Car Dealer,,Auto Folies,service,France,Yerres,"13 Rue sous les Écoles, 63720 Chappes, France",AVO,Avon,1998.0,6735.0,684.0,1314.0,271.0,3312.0
Classic Car Dealer,,Auto Gallery,service,United States,Oak Grove,"9221 S Buckner Tarsney Rd, Oak Grove, MO 64075, USA",OAK,Oak Grove,2948.0,9165.0,1002.0,1946.0,396.0,4894.0
Classic Car Dealer,,Auto Quest Investment Cars,service,United States,Tifton,"710 7th St W, Tifton, GA 31794, USA",TMA,Tifton,1980.0,6685.0,678.0,1302.0,268.0,3282.0
Classic Car Dealer,,Auto Reiter GmbH,service,Austria,Wolfsberg,"Ankerweg 7, 8753 Fohnsdorf, Austria",VCE,Venice,503.0,1964.0,185.0,318.0,73.0,821.0
Classic Car Dealer,,Auto Salon Singen GmbH,service,Austria,Wolfsberg,"Ankerweg 7, 8753 Fohnsdorf, Austria",VCE,Venice,503.0,1964.0,185.0,318.0,73.0,821.0
Classic Car Dealer,,Auto Source Group LLC,service,United States,Doral,"1900 Northwest 79th Avenue, Doral, FL, USA",TNT,Miami,517.0,1896.0,191.0,327.0,75.0,844.0
Classic Car Dealer,,Auto Spinetti Grandi Marche Srl,service,Italy,Vittoria,"Corso Giacomo Matteotti, 143, 51016 Montecatini Terme, PT, Italy",BAR,Bar,6055.0,15562.0,2042.0,4013.0,808.0,10068.0
Classic Car Dealer,,Auto Storica,service,Spain,Zubia,"Av. de la Marina, 20, 08830 Sant Boi de Llobregat, Barcelona, Spain",LMZ,Palma,2325.0,7587.0,794.0,1531.0,314.0,3856.0
Classic Car Dealer,,Auto Vogel & Partner AG,service,Switzerland,Zürich,"Buzibachstrasse 43, 6023 Rothenburg, Switzerland",ZRH,Zürich,427.0,1770.0,158.0,269.0,45.0,696.0
Classic Car Dealer,,Auto-Nostalgie,service,Germany,Zwickau,"Wimsheimer Str. 12, 71292 Friolzheim, Germany",HOF,Hof,1623.0,5691.0,559.0,1065.0,221.0,2688.0
Classic Car Dealer,,AutoBarn Classic Cars,service,United States,Concord,"320 Sign Dr NW Suite 100, Concord, NC 28027, USA",USA,Concord,1965.0,6643.0,673.0,1292.0,266.0,3257.0
Classic Car Dealer,,Autobase S.R.L.,service,Italy,Parma,"Via Reggio, 39, 43126 Parma, PR, Italia",PMF,Parma,492.0,1794.0,183.0,309.0,72.0,801.0
Classic Car Dealer,,Autobedrijf Brit,service,Netherlands,Zwolle,"Goirkekanaaldijk 2B, 5046 AT Tilburg, Netherlands",HLM,Holland,1850.0,6322.0,634.0,1215.0,251.0,3065.0
Classic Car Dealer,,Autobedrijf Jansma,service,Netherlands,Zwolle,"Weinterp 26, 9241 HD Wijnjewoude, Netherlands",HLM,Holland,1850.0,6322.0,634.0,1215.0,251.0,3065.0
Classic Car Dealer,,Autobedrijf Robert Wagner,service,Netherlands,Zwolle,"De Velden 5, 7844 TG Veenoord, Netherlands",HLM,Holland,1850.0,6322.0,634.0,1215.0,251.0,3065.0
Classic Car Dealer,,AutoClass,service,Italy,Vittoria,"Via IV Novembre, 75, 25031 Capriolo, Brescia, Italy",BAR,Bar,6055.0,15562.0,2042.0,4013.0,808.0,10068.0
Classic Car Dealer,,Autohaus Hans Saturski GmbH,service,Germany,Zwickau,"Mainzer Landstraße 272-274, 60327 Frankfurt am Main, Germany",HOF,Hof,1623.0,5691.0,559.0,1065.0,221.0,2688.0
Classic Car Dealer,,Autoieri,service,Italy,Vittoria,"Via Blanchi di Roascio, n. 26, 12025 Dronero, Province of Cuneo, Italy",BAR,Bar,6055.0,15562.0,2042.0,4013.0,808.0,10068.0
Classic Car Dealer,,Automakler Nordheide,service,Germany,Zwickau,"Osterberg 1, 21258 Heidenau, Germany",HOF,Hof,1623.0,5691.0,559.0,1065.0,221.0,2688.0
Classic Car Dealer,,Automobielhuys Misker,service,Netherlands,Zwolle,"Vaart Noordzijde 91, 7833 HE Nieuw-Amsterdam, Netherlands",HLM,Holland,1850.0,6322.0,634.0,1215.0,251.0,3065.0
Classic Car Dealer,,Automobile Zeitreise,service,Germany,Zwickau,"Wulmenau 6, 23847 Westerau, Germany",HOF,Hof,1623.0,5691.0,559.0,1065.0,221.0,2688.0
Classic Car Dealer,,Automobiles Historiques,service,Canada,London,"79 Greenway, London N20 8EE, UK",LGW,London,427.0,1590.0,160.0,267.0,42.0,694.0
Classic Car Dealer,,Automobilia Fabrik,service,Germany,Zwickau,"Nordstraße 22, 52525 Waldfeucht, Germany",HOF,Hof,1623.0,5691.0,559.0,1065.0,221.0,2688.0
Classic Car Dealer,,Automotive International,service,United Kingdom,York,"13337 York Center Road, Charlotte, NC 28273, USA",THV,York,1210.0,4539.0,420.0,790.0,166.0,2000.0
Classic Car Dealer,,Autosalon Isartal,service,Germany,Zwickau,"Wolfratshauser Straße 64, 82065 Baierbrunn, Germany",HOF,Hof,1623.0,5691.0,559.0,1065.0,221.0,2688.0
Classic Car Dealer,,Autosalón Valencia,service,Spain,Zubia,"Avinguda de Peris i Valero, 10, 46006 Valencia, Spain",LMZ,Palma,2325.0,7587.0,794.0,1531.0,314.0,3856.0
Classic Car Dealer,,AutoSL,service,Germany,Zwickau,"Hessenstraße 1, 41460 Neuss, Germany",HOF,Hof,1623.0,5691.0,559.0,1065.0,221.0,2688.0
Classic Car Dealer,,Autosport Designs Inc,service,United States,Huntington,"203 West Hills Road, Huntington Station, NY 11746, USA",HTS,Huntington,1825.0,6253.0,626.0,1199.0,248.0,3024.0
